2024-07-25 17:17:08 INFO  TC1_AccountRegistrationTest:97 - ChromeDriver: chrome on windows (8e418af549263beefb82cc0e4491af70)
2024-07-25 17:17:09 INFO  TC1_AccountRegistrationTest:13 - ********TC1_AccountRegistrationTest STARTED**********
2024-07-25 17:17:09 INFO  TC1_AccountRegistrationTest:19 - HomePage Loaded
2024-07-25 17:17:12 INFO  TC1_AccountRegistrationTest:24 - Clicked on Register Link
2024-07-25 17:17:15 INFO  TC1_AccountRegistrationTest:28 - Filled in first name
2024-07-25 17:17:15 INFO  TC1_AccountRegistrationTest:30 - Filled in Last Name
2024-07-25 17:17:15 INFO  TC1_AccountRegistrationTest:32 - Setup email
2024-07-25 17:17:16 INFO  TC1_AccountRegistrationTest:34 - Setup telephone
2024-07-25 17:17:16 INFO  TC1_AccountRegistrationTest:36 - Setup password
2024-07-25 17:17:16 INFO  TC1_AccountRegistrationTest:37 - Setup pswd
2024-07-25 17:17:16 INFO  TC1_AccountRegistrationTest:38 - Setup confirmed password
2024-07-25 17:17:16 INFO  TC1_AccountRegistrationTest:40 - checked the policy check box
2024-07-25 17:17:18 INFO  TC1_AccountRegistrationTest:42 - Clicked the continue button
2024-07-25 17:17:18 INFO  TC1_AccountRegistrationTest:49 - Verified the message"Your Account Has Been Created!"
2024-07-25 17:17:18 INFO  TC1_AccountRegistrationTest:65 - ********TC1_AccountRegistrationTest FINSIHED**********
2024-07-25 17:17:19 INFO  TC2_LoginTest:96 - BaseClass
2024-07-25 17:17:19 INFO  TC2_LoginTest:97 - ChromeDriver: chrome on windows (795ef6b2ccf4abe725581701301eb365)
2024-07-25 17:17:20 INFO  TC2_LoginTest:19 - *****TC2_LoginTest  BEGINS******
2024-07-25 17:17:20 INFO  TC2_LoginTest:24 - Created Object of HomePage
2024-07-25 17:17:20 INFO  TC2_LoginTest:26 - My Account clicked on HomePage
2024-07-25 17:17:20 INFO  TC2_LoginTest:28 - Login clicked on HomePage
2024-07-25 17:17:20 INFO  TC2_LoginTest:29 - Home Page DONE!!
2024-07-25 17:17:20 INFO  TC2_LoginTest:31 - Starting the Login Page!
2024-07-25 17:17:22 INFO  TC2_LoginTest:37 - Setting the email form config file!
